GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fuzzy,com.alexandria.service.analysis,TextAnalysisResult,0,21,0,0,0,1,0,1,0,1
fuzzy,com.alexandria.service.analysis,WordFrequency,0,18,0,0,0,1,0,1,0,1
fuzzy,com.alexandria.service.analysis,SearchMatch,0,21,0,0,0,1,0,1,0,1
fuzzy,com.alexandria.service.analysis,TextComparisonResult.TextComparisonRow,9,29,4,4,3,9,4,1,0,1
fuzzy,com.alexandria.service.analysis,SearchSettings,7,12,0,0,1,1,1,1,1,1
fuzzy,com.alexandria.service,AnalysisUtils,27,260,11,15,4,29,12,19,1,17
fuzzy,com.alexandria.service,TermAnalysisService,2,154,2,18,0,28,2,11,0,3
fuzzy,com.alexandria.service,PdfService,6,153,4,14,1,25,4,9,0,4
fuzzy,com.alexandria.service,PdfService.PagedText,53,12,10,0,11,1,7,1,2,1
fuzzy,com.alexandria.service,TextComparisonService,8,144,3,3,1,29,3,9,0,9
fuzzy,com.alexandria.service,ValidationService,3,0,0,0,1,0,1,0,1,0
fuzzy,com.alexandria.service,SearchService,17,85,7,7,5,14,7,4,0,4
fuzzy,com.alexandria.service,TextAnalysisService,4,154,4,6,0,33,4,9,0,8
fuzzy,com.alexandria.service,TermComparisonService,17,68,7,5,1,13,6,3,0,3
fuzzy,com.alexandria.service,FuzzySearchService,14,213,7,17,5,37,7,7,0,2
fuzzy,com.alexandria.view,MainView,77,0,0,0,20,0,8,0,8,0
fuzzy,com.alexandria.view.screens,CompareScreen,22,0,0,0,6,0,1,0,1,0
fuzzy,com.alexandria.view.screens,SettingsScreen,22,0,0,0,6,0,1,0,1,0
fuzzy,com.alexandria.view.screens,LibraryScreen,0,22,0,0,0,6,0,1,0,1
fuzzy,com.alexandria.view.screens,ArchiveScreen,22,0,0,0,6,0,1,0,1,0
fuzzy,com.alexandria.view.screens,ProfileScreen,296,0,2,0,85,0,34,0,33,0
fuzzy,com.alexandria.view.screens,AnalyseScreen,22,0,0,0,6,0,1,0,1,0
fuzzy,com.alexandria.view.screens,UserGuideScreen,22,0,0,0,6,0,1,0,1,0
fuzzy,com.alexandria.view.components.side_navbar,SideNavbar,29,279,0,0,11,58,7,8,7,8
fuzzy,com.alexandria.view.components.side_navbar,SideNavbarNavigation,28,188,6,6,13,42,9,10,5,8
fuzzy,com.alexandria.view.components.side_navbar,SideNavbarNavigation.NavItem,0,12,0,0,0,1,0,1,0,1
fuzzy,com.alexandria.view.router,ViewRouter,2,36,2,2,2,11,2,4,0,4
fuzzy,com.alexandria.view.router,Route,3,140,0,6,1,19,1,7,1,4
fuzzy,com.alexandria.utils,SessionStorage,0,32,0,2,0,8,0,5,0,4
fuzzy,com.alexandria.utils,PasswordHasher,3,42,0,8,1,19,1,6,1,2
fuzzy,com.alexandria.model,TermComparison,14,54,0,0,7,22,4,9,4,9
fuzzy,com.alexandria.model,TextComparisonText,11,15,0,0,6,6,3,3,3,3
fuzzy,com.alexandria.model,Quotation,18,63,0,0,9,25,5,10,5,10
fuzzy,com.alexandria.model,TermAnalysis,18,63,0,0,9,25,5,10,5,10
fuzzy,com.alexandria.model,TextComparison,14,41,0,0,7,17,4,7,4,7
fuzzy,com.alexandria.model,FileType,0,34,0,0,0,4,0,1,0,1
fuzzy,com.alexandria.model,User,3,81,0,0,2,33,1,14,1,14
fuzzy,com.alexandria.model,TextAnalysis,18,50,0,0,9,20,5,8,5,8
fuzzy,com.alexandria.model,Text,14,80,0,0,7,32,4,13,4,13
fuzzy,com.alexandria.model,SearchResult,18,63,0,0,9,25,5,10,5,10
fuzzy,com.alexandria.model,TermComparisonText,11,15,0,0,6,6,3,3,3,3
fuzzy,com.alexandria.view.components.shared.toggle,Toggle,7,135,5,9,4,32,6,8,1,6
fuzzy,com.alexandria.view.components.shared.form,FormValidator,0,82,1,15,0,20,1,10,0,3
fuzzy,com.alexandria.view.components.shared.form,FormField,15,46,5,5,3,15,5,6,0,6
fuzzy,com.alexandria.view.components.shared.form,Form,26,163,2,2,7,39,6,10,4,10
fuzzy,com.alexandria.view.components.shared.form,Form.Builder,5,60,2,2,1,13,2,6,0,6
fuzzy,com.alexandria.view.components.shared.form,FormRenderer,152,258,19,14,26,47,19,18,5,14
fuzzy,com.alexandria.view.components.shared.form,FormField.Type,0,54,0,0,0,6,0,1,0,1
fuzzy,com.alexandria.view.components.profile_screen,LoginForm,6,61,0,0,2,15,2,4,2,4
fuzzy,com.alexandria.view.components.profile_screen,ChangePasswordForm,40,81,2,0,11,17,7,1,6,1
fuzzy,com.alexandria.view.components.profile_screen,RegisterForm,11,103,0,0,2,18,3,3,3,3
fuzzy,com.alexandria.view.components.profile_screen,ProfileView,70,522,10,6,18,84,20,7,13,6
fuzzy,com.alexandria.view.components.profile_screen,EditProfileForm,41,136,7,1,9,24,11,2,7,2
fuzzy,com.alexandria.view.components.profile_screen,AuthView,33,161,1,1,12,33,9,7,8,7
